Keys,V1,V2,V3,V4
170712_153718,3.05,3.14,3.1,3.03
170712_154846,3.1,3.13,3.09,3.05
170712_155319,3.06,3.1,3.14,3.02
170712_160353,3.03,3.09,3.04,3.15
170712_161043,3.02,3.07,3.14,3.04
170712_162202,3.03,3.13,3.04,3.1
170712_163000,3.12,3.04,3.01,3.08
170712_163958,3.03,3.04,3.11,3.09
170713_101445,3.06,3.07,3.1,3.02
170713_105205,3.11,3.01,3.05,3.08
170713_110428,3.09,3.03,3.04,3.14
170713_112427,3.05,3.03,3.1,3.13
170713_113240,3.13,3.09,3.01,3.05
170713_113829,3.11,3.04,3.02,3.09
170713_120338,3.01,3.1,3.15,3.06
170713_120956,3.05,3.09,3.03,3.15
170713_122112,3.1,3.13,3.03,3.05
170713_123529,3.04,3.01,3.11,3.08
170713_125203,3.11,3.06,3.07,3.03
170713_132150,3.02,3.07,3.13,3.04
170713_132639,3.14,3.1,3.01,3.07
170713_133126,3.14,3.07,3.1,3.06
170713_133622,3.02,3.13,3.04,3.1
170713_134034,3.01,3.11,3.13,3.05
170713_134606,3.07,3.05,3.15,3.03
170713_135148,3.1,3.15,3.04,3.01
170713_142558,3.13,3.04,3.07,3.02
170713_143225,3.12,3.07,3.14,3.04
170713_145532,3.03,3.11,3.14,3.05
170713_150937,3.03,3.06,3.14,3.09
170713_152219,3.09,3.15,3.1,3.04
170713_152729,3.02,3.14,3.07,3.11
170713_154001,3.06,3.02,3.14,3.08
170713_160925,3.02,3.05,3.08,3.15
170713_161449,3.05,3.15,3.01,3.12
170713_162755,3.1,3.09,3.14,3.06
170713_164253,3.08,3.03,3.12,3.15
170714_103405,3.08,3.05,3.15,3.11
170714_105317,3.14,3.09,3.11,3.06
170714_105814,3.13,3.1,3.02,3.05
170714_111302,3.11,3.15,3.01,3.09
170714_111756,3.13,3.08,3.06,3.01
170714_112219,3.13,3.05,3.07,3.03
170714_113323,3.01,3.12,3.07,3.13
170714_113645,3.09,3.04,3.1,3.15
170714_114227,3.04,3.08,3.02,3.14
170714_115345,3.01,3.1,3.06,3.15
170714_120604,3.12,3.14,3.01,3.08
170714_120926,3.1,3.01,3.13,3.04
170714_121315,3.12,3.08,3.15,3.01
170714_124831,3.15,3.07,3.05,3.03
170714_131133,3.06,3.07,3.02,3.11
170714_140419,3.08,3.06,3.15,3.02
170714_141916,3.02,3.04,3.07,3.11
170714_142446,3.04,3.14,3.03,3.1
170714_143539,3.05,3.11,3.14,3.08
170714_144857,3.12,3.15,3.03,3.08
170714_145442,3.14,3.01,3.08,3.04
170714_150309,3.04,3.07,3.15,3.11
170714_150954,3.05,3.09,3.03,3.13
170714_152801,3.03,3.05,3.1,3.14
170714_153812,3.06,3.12,3.02,3.07
170714_154930,3.14,3.07,3.11,3.03
170714_155944,3.08,3.14,3.11,3.02
170714_160609,3.09,3.01,3.1,3.14
170714_161157,3.07,3.06,3.13,3.03
170714_161653,3.11,3.03,3.08,3.13
170714_162517,3.04,3.09,3.01,3.1
170714_163109,3.1,3.09,3.14,3.06
170714_163735,3.07,3.01,3.13,3.11
170714_164547,3.04,3.01,3.15,3.09
170714_165129,3.04,3.07,3.03,3.12
170715_101759,3.02,3.09,3.04,3.11
170715_103527,3.05,3.03,3.09,3.15
170715_104225,3.1,3.04,3.09,3.15
170715_114158,3.01,3.13,3.09,3.06
170715_115044,3.15,3.02,3.06,3.07
170715_120642,3.03,3.13,3.1,3.04
170715_123159,3.08,3.02,3.1,3.06
170715_123644,3.08,3.12,3.01,3.15
170715_125209,3.05,3.07,3.03,3.12
170715_133620,3.11,3.05,3.14,3.07
170715_140131,3.1,3.03,3.13,3.08
170715_140735,3.08,3.11,3.05,3.14
170715_141824,3.13,3.01,3.09,3.06
170715_142337,3.08,3.14,3.03,3.06
170715_143257,3.02,3.08,3.14,3.04
170715_143951,3.15,3.1,3.04,3.09
170715_145650,3.07,3.12,3.03,3.15
170715_150401,3.11,3.03,3.08,3.05
170715_151334,3.13,3.05,3.03,3.09
170715_151827,3.13,3.01,3.09,3.1
170715_152551,3.14,3.05,3.08,3.01
170715_154836,3.12,3.09,3.02,3.04
170715_161414,3.06,3.11,3.09,3.15
170818_092219,3.13,3.11,3.06,3.07
170818_102739,3.07,3.1,3.13,3.04
170818_103253,3.11,3.08,3.14,3.03
170818_103738,3.14,3.12,3.03,3.04
170818_105838,3.07,3.1,3.02,3.04
170818_110612,3.02,3.12,3.04,3.08
170818_111430,3.09,3.12,3.15,3.03
170818_114632,3.14,3.09,3.04,3.03
170818_122053,3.04,3.14,3.07,3.03
170818_122848,3.15,3.06,3.1,3.02
170818_124552,3.09,3.06,3.11,3.15
170818_124955,3.03,3.1,3.08,3.05
170818_125812,3.15,3.04,3.09,3.1
170818_130436,3.01,3.04,3.11,3.07
170818_131634,3.07,3.03,3.11,3.05
170818_132333,3.01,3.04,3.11,3.13
170818_140357,3.12,3.05,3.13,3.03
170818_144425,3.04,3.07,3.03,3.14
170818_145020,3.02,3.14,3.05,3.08
170818_145858,3.14,3.11,3.01,3.07
170818_150513,3.01,3.11,3.06,3.07
170818_151239,3.11,3.08,3.06,3.15
170818_152416,3.1,3.07,3.02,3.04
170818_153248,3.09,3.11,3.06,3.02
170818_154837,3.15,3.07,3.06,3.1
170818_161006,3.06,3.08,3.02,3.1
170818_161538,3.03,3.06,3.15,3.11
170818_163250,3.06,3.12,3.09,3.14
170818_164136,3.12,3.04,3.07,3.01
170819_104531,3.02,3.15,3.08,3.12
170819_105413,3.08,3.15,3.11,3.02
170819_110229,3.12,3.08,3.01,3.13
170819_111143,3.08,3.03,3.04,3.13
170819_112101,3.15,3.04,3.12,3.03
170819_115537,3.09,3.05,3.14,3.01
170819_120015,3.07,3.05,3.14,3.12
170819_123026,3.01,3.11,3.13,3.04
